number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_class,params_objective,params_subsample,params_tree_method,state
83,0.9625175,1.0455673466951299,0.6818181319963957,mlogloss,0.0014219702259059721,0.032471658231162805,11,43,6,multi:softprob,0.8689976162509254,gpu_hist,COMPLETE
84,0.9626225,0.04967470473953519,0.5985116477805216,mlogloss,0.0029194207468165316,0.02847719343732476,9,18,6,multi:softprob,0.8339386292036446,gpu_hist,COMPLETE
85,0.96252875,0.17266754283582883,0.5643376987259728,mlogloss,0.008359221370151012,0.039951795635029645,11,8,6,multi:softprob,0.7781934411542739,gpu_hist,COMPLETE
86,0.961595,0.515985827291658,0.6181047225902069,mlogloss,0.025684492490454174,0.057137547199031795,5,36,6,multi:softprob,0.7486315696187591,gpu_hist,COMPLETE
87,0.96252125,0.076385810455486,0.5865911504436047,mlogloss,0.0035636580849298374,0.020233217756234625,11,54,6,multi:softprob,0.8780008295957772,gpu_hist,COMPLETE
88,0.9626025,0.12513500524371549,0.5473298403755884,mlogloss,0.07058814744817885,0.024950795698483096,11,23,6,multi:softprob,0.9184552156929036,gpu_hist,COMPLETE
89,0.96255375,0.24141381162947223,0.7163273868405501,mlogloss,2.045260371970806,0.03413841049448147,17,78,6,multi:softprob,0.7938934836511665,gpu_hist,COMPLETE
90,0.96142875,0.14793403289243015,0.6644743589444764,mlogloss,1.143048332838419,0.010308099577875072,11,122,6,multi:softprob,0.8191458870253377,gpu_hist,COMPLETE
91,0.9625975,0.05063045081116581,0.6050581878513634,mlogloss,0.001554861123052847,0.028802977463572115,9,16,6,multi:softprob,0.8319887341874377,gpu_hist,COMPLETE
92,0.9625525,0.07440963324478866,0.6263457258118742,mlogloss,0.003031699788629757,0.027838017586239622,9,19,6,multi:softprob,0.840472263677557,gpu_hist,COMPLETE
93,0.96258625,0.041689485589849515,0.5931164725657386,mlogloss,0.0024294017912136184,0.037270472698472994,11,35,6,multi:softprob,0.7624247522622973,gpu_hist,COMPLETE
94,0.96243875,0.2022359834191535,0.6872195097941822,mlogloss,0.00452176469407012,0.030660918348846787,9,66,6,multi:softprob,0.8617233430088641,gpu_hist,COMPLETE
95,0.96250875,2.204997128862634,0.6504223019303509,mlogloss,5.4233282100915225,0.02506761317730744,9,6,6,multi:softprob,0.8883493965694648,gpu_hist,COMPLETE
96,0.95503875,0.06309435170388074,0.6086628301916032,mlogloss,7.614240667990757,0.049802784565531215,3,53,6,multi:softprob,0.7984648105102541,gpu_hist,COMPLETE
97,0.96254875,0.0037369381139642616,0.6313270887685872,mlogloss,0.006140049695085405,0.04644230023647285,11,23,6,multi:softprob,0.835490650658489,gpu_hist,COMPLETE
98,0.96242625,0.09076865752887808,0.5751154723269714,mlogloss,0.5838136330839155,0.03410804903837609,13,40,6,multi:softprob,0.8105519021674759,gpu_hist,COMPLETE
99,0.9622975,0.3778601224683804,0.7465123998117026,mlogloss,0.9229423784643461,0.021033508370073846,11,92,6,multi:softprob,0.8577183940336599,gpu_hist,COMPLETE
100,0.95985375,0.6676337457729439,0.5242063797291338,mlogloss,0.01777164744216172,0.014984108757514809,7,29,6,multi:softprob,0.7273085190040051,gpu_hist,COMPLETE
101,0.9626725,0.03715599706405725,0.6266127402355441,mlogloss,3.494652674998633,0.024726996928740398,11,31,6,multi:softprob,0.8206564288640948,gpu_hist,COMPLETE
102,0.96258625,0.049214392482217366,0.6557445340100495,mlogloss,4.144055227365951,0.02427905034742827,11,45,6,multi:softprob,0.8247246544119167,gpu_hist,COMPLETE
103,0.96253,0.026063974521601568,0.6719893496533969,mlogloss,1.4573395016104942,0.03968200732229242,11,50,6,multi:softprob,0.8475005769194929,gpu_hist,COMPLETE
104,0.96260875,0.01831430582114495,0.5987795166931212,mlogloss,3.675999917899245,0.028272643703128302,11,31,6,multi:softprob,0.7765113092782254,gpu_hist,COMPLETE
105,0.96218,0.11026056025863631,0.6266858198404409,mlogloss,2.609741758109606,0.03112753033227997,20,11,6,multi:softprob,0.7942165537350707,gpu_hist,COMPLETE
106,0.96250125,1.4738157274138486,0.5533695715707241,mlogloss,1.9399450996778653,0.01859520331410991,11,18,6,multi:softprob,0.8234419728591015,gpu_hist,COMPLETE
107,0.96257125,0.31059581130758235,0.6436035950031971,mlogloss,0.040869788454314354,0.03545821525307767,9,68,6,multi:softprob,0.870441144536031,gpu_hist,COMPLETE
108,0.962655,0.028482805032643707,0.5643536724375265,mlogloss,4.649294013894028,0.02673500562974787,11,25,6,multi:softprob,0.8491938096254906,gpu_hist,COMPLETE
109,0.96240375,0.03239670446638794,0.5616630561380042,mlogloss,4.920213937346136,0.023295680471079095,11,101,6,multi:softprob,0.8812727024493163,gpu_hist,COMPLETE
110,0.96206375,0.010873573867316551,0.5408736349983344,mlogloss,6.49099165878161,0.020527739560089235,11,164,6,multi:softprob,0.806188440812733,gpu_hist,COMPLETE
111,0.96269,0.014235099914502308,0.6055791828670772,mlogloss,0.00199311577817413,0.028103609029870198,11,25,6,multi:softprob,0.8473309665552905,gpu_hist,COMPLETE
112,0.96268125,0.015933651743186252,0.6123061450169708,mlogloss,3.6183513189593963,0.026380321107741377,11,34,6,multi:softprob,0.8509321454289881,gpu_hist,COMPLETE
113,0.9627275,0.014671274003689878,0.6160976692970105,mlogloss,2.8456442005893643,0.026488113795983946,11,24,6,multi:softprob,0.8521804704905841,gpu_hist,COMPLETE
114,0.96266875,0.015798709463545186,0.5763578050717235,mlogloss,2.7470101802612223,0.02606813287961295,11,23,6,multi:softprob,0.8628617490726627,gpu_hist,COMPLETE
115,0.96263375,0.013393587221327056,0.5886617052712093,mlogloss,2.7715509028383494,0.023996107685880907,11,26,6,multi:softprob,0.914131393568115,gpu_hist,COMPLETE
116,0.9626475,0.005690198063862354,0.6082655303872175,mlogloss,2.2460502340059207,0.025815529859974488,11,5,6,multi:softprob,0.8618945872900857,gpu_hist,COMPLETE
117,0.962465,0.016541108636450797,0.5711250488278191,mlogloss,0.0010881181740989103,0.01758820062337063,13,36,6,multi:softprob,0.8946585532924654,gpu_hist,COMPLETE
